UserID,q1_1,q1_2,q1_9,q2a,q2b,q2c,q3_A,q3_B,q3_C,q3_D,q3_E,q4_A,q4_B,q4_C,q4_D,q4_E,q5,q6,q7_A,q7_B,q7_C,q7_D,q7_E,q7_F,q8_A,q8_B,q8_C,q8_D,q8_E,q8_F
763,0,1,0,Yes,Product Y,22,5,4,5,4,2,5,5,5,5,5,5,1,5,3,3,3,1,1,2,3,1,4,5,6
838,0,1,0,No,,,5,5,4,5,5,,,,,,,2,4,3,2,3,4,2,2,4,1,6,5,3
862,1,1,0,Yes,Product Y,24,5,5,5,5,5,5,3,4,5,5,5,3,5,4,4,5,5,3,1,4,2,6,5,3
884,1,1,0,No,,,5,5,5,5,5,,,,,,,2,4,3,3,3,5,4,1,4,2,6,3,5
924,1,1,0,Yes,Product Y,23,5,5,4,4,4,3,3,5,4,5,4,3,4,4,1,2,3,3,1,3,2,4,6,5
1053,1,1,0,Yes,Product Y,2,5,5,5,5,5,4,5,4,5,5,4,3,3,3,2,4,3,2,1,5,2,6,4,3
1188,1,1,0,Yes,Product X,27,5,5,5,4,5,5,1,2,5,3,4,4,4,4,1,3,4,3,1,3,2,4,6,5
1247,0,0,0,Yes,Product Y,64,5,5,5,5,5,5,5,5,5,5,5,2,3,1,1,1,3,1,3,1,2,4,6,5
1260,0,0,1,Yes,Product Y,30,5,5,5,5,5,5,4,4,5,5,4,4,5,1,1,2,1,1,1,2,3,4,5,6
1287,1,1,0,Yes,Product Y,13,5,5,5,5,5,3,4,3,3,5,2,2,3,2,2,4,2,4,1,2,3,5,6,4
1289,1,1,0,Yes,Product Y,3,5,5,5,4,3,3,5,4,3,5,4,2,4,4,4,4,4,3,1,4,2,5,6,3
1316,1,1,0,Yes,Product X,5,5,5,5,5,5,5,5,5,5,5,4,1,4,3,2,2,3,2,3,4,1,5,6,2
1375,0,1,0,Yes,Product Y,12,5,5,5,5,5,5,5,5,5,5,3,1,2,1,3,4,4,4,1,2,3,4,5,6
1418,1,1,0,Yes,Product Y,1,5,5,5,5,4,5,5,5,5,4,5,1,5,5,1,1,1,1,1,3,5,4,6,2
1456,1,1,0,Yes,Product Y,3,5,5,5,5,5,5,4,4,5,5,5,4,3,3,3,4,3,3,1,2,3,4,6,5
1481,0,1,0,Yes,Product Y,10,5,5,5,5,5,5,4,5,5,3,4,4,5,1,1,3,3,3,1,3,2,6,5,4
1563,1,1,0,Yes,Product X,42,5,5,5,5,5,5,2,5,5,1,5,4,5,1,2,1,3,3,1,4,3,2,6,5
1569,0,1,0,Yes,Product Y,4,5,5,5,5,5,3,3,4,4,4,4,5,3,2,2,4,3,4,1,3,2,5,6,4
1594,1,1,0,Yes,Product Y,13,5,5,5,5,5,5,2,3,5,3,4,2,5,3,3,5,5,5,1,3,2,6,4,5
1598,1,0,0,Yes,Product X,2,5,5,5,5,5,5,5,5,5,5,5,1,5,1,3,1,1,4,1,2,3,6,5,4
1601,1,1,0,Yes,Product X,4,5,5,5,4,4,5,4,5,5,5,5,2,5,5,3,5,5,5,3,5,4,2,6,1
1607,1,1,0,Yes,Product Y,4,5,5,5,5,5,3,5,2,3,5,2,2,4,1,1,3,4,3,1,4,2,3,5,6
1608,1,1,0,Yes,Product X,3,5,3,4,3,1,3,4,5,5,5,3,3,4,3,1,5,4,3,2,6,4,1,5,3
1610,1,1,0,Yes,Product Y,7,5,5,5,4,5,3,3,3,4,5,3,3,5,3,3,4,3,3,1,4,3,6,5,2
1613,1,1,0,Yes,Product X,6,5,5,5,3,5,5,4,5,5,5,5,4,4,4,2,4,3,4,1,4,3,2,6,5
1615,1,1,0,Yes,Product X,10,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,2,1,2,3,1,5,6,4
1628,1,1,0,Yes,Product X,6,5,5,5,4,5,4,4,3,5,1,5,2,4,2,2,4,3,3,1,4,2,3,6,5
1631,1,1,0,Yes,Product X,10,5,5,5,5,2,5,5,5,5,1,5,4,5,4,2,4,5,4,1,4,2,5,6,3
1632,1,1,0,Yes,Product X,2,5,5,5,5,4,3,4,5,4,1,4,3,4,3,2,5,3,3,3,1,2,4,5,6
1634,1,1,0,Yes,Product X,1,5,5,5,5,5,3,3,1,4,2,1,4,4,3,1,3,4,3,1,2,3,4,6,5
1638,1,1,0,Yes,Product X,2,5,5,5,5,1,5,5,5,5,5,4,4,5,1,1,5,3,3,1,5,2,6,4,3
1639,1,1,0,Yes,Product Y,106,5,2,1,3,1,5,2,1,2,5,3,3,3,2,2,4,4,3,1,3,2,5,6,4
1644,1,1,0,Yes,Product X,8,5,5,5,5,5,4,4,3,2,3,5,1,4,1,3,5,5,5,1,3,2,5,6,4
1654,1,1,0,Yes,Product X,8,5,5,5,3,4,5,5,5,5,5,5,2,4,1,3,5,5,1,1,4,3,6,5,2
1661,1,1,0,Yes,Product Y,8,5,5,5,4,5,4,4,5,4,4,4,2,4,2,3,4,1,2,1,3,2,6,4,5
1662,1,1,0,Yes,Product X,4,5,4,5,3,5,5,4,3,5,5,5,4,4,4,2,4,4,2,5,4,1,3,6,2
1665,1,1,0,Yes,Product Y,26,5,5,2,1,4,5,5,4,5,1,5,3,4,3,2,5,4,4,1,4,3,6,5,2
1667,1,1,0,Yes,Product Y,15,5,5,5,5,5,5,5,5,5,5,3,3,5,5,2,4,5,2,1,5,2,3,4,6
1674,1,1,0,Yes,Product X,11,5,4,4,5,5,5,3,4,5,5,5,1,4,4,3,5,3,4,2,3,5,4,6,1
1675,1,1,0,No,,,5,5,5,5,4,,,,,,,3,3,4,2,2,4,3,1,3,4,6,2,5
1681,1,1,0,Yes,Product Y,10,5,5,4,4,5,4,4,4,3,2,4,3,5,4,1,5,4,2,1,6,3,4,5,2
1684,1,1,0,Yes,Product X,3,5,2,5,1,4,2,4,4,5,2,3,2,1,3,3,5,5,2,1,6,2,3,5,4
1688,1,1,0,Yes,Product X,3,5,5,4,3,5,4,4,4,5,5,4,4,4,3,2,5,4,3,1,4,2,5,6,3
1690,1,1,0,Yes,Product X,1,5,5,5,5,5,4,5,5,5,5,5,3,5,5,2,5,3,3,1,3,4,5,6,2
1695,1,1,0,Yes,Product X,5,5,4,5,3,3,5,5,5,5,5,5,3,4,3,1,1,3,4,1,6,2,3,4,5
1701,1,1,0,No,,,5,5,5,3,3,,,,,,,3,4,5,1,3,3,2,1,3,2,5,6,4
1702,1,1,0,Yes,Product Y,5,5,5,5,5,5,5,4,4,5,5,5,3,4,3,2,4,2,3,2,3,1,4,5,6
1706,1,1,0,Yes,Product Y,8,5,5,5,5,5,5,4,4,4,5,5,4,4,3,1,4,5,3,1,4,2,5,6,3
1713,1,1,0,Yes,Product X,3,5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,5,5,2,1,5,4,3,6,2
1720,1,1,0,Yes,Product X,3,5,5,5,5,4,4,5,5,5,2,5,3,4,3,1,3,3,4,2,3,1,6,4,5
1721,1,1,0,Yes,Product Y,3,5,5,5,5,1,5,3,3,1,1,4,3,4,3,4,4,4,3,1,5,3,4,6,2
1723,1,1,0,Yes,Product X,6,5,5,5,5,5,5,4,4,4,4,5,3,4,3,1,3,4,3,1,4,2,5,6,3
1724,1,1,0,Yes,Product Y,7,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,4,3,5,2,4,1,6,3,5
1730,1,1,0,Yes,Product X,4,5,5,5,5,5,5,4,5,5,5,3,3,4,4,1,2,5,1,1,3,2,4,5,6
1731,1,1,0,Yes,Product X,2,5,5,5,4,5,1,4,4,1,1,1,3,4,2,2,4,4,2,2,3,1,4,6,5
1742,1,1,0,Yes,Product Y,29,5,5,4,4,5,4,5,4,5,5,5,3,3,2,2,5,5,4,1,4,2,6,5,3
1746,1,1,0,Yes,Product X,24,5,5,5,4,5,3,3,3,5,3,2,2,4,2,1,4,2,2,3,6,1,4,5,2
1756,1,1,0,Yes,Product X,6,5,5,5,5,5,5,4,2,5,5,5,5,5,5,2,3,4,5,1,2,3,6,4,5
1762,1,1,0,Yes,Product X,3,5,5,5,5,5,3,5,3,5,1,4,2,4,3,2,3,4,4,3,1,5,2,4,6
1766,0,1,0,Yes,Product Y,10,5,4,4,3,4,5,3,3,4,3,5,4,5,5,2,4,3,4,1,3,4,6,5,2
1778,1,1,0,Yes,Product X,2,5,3,4,3,3,4,4,2,2,2,3,4,4,2,2,4,3,1,2,4,1,6,5,3
1793,1,0,0,Yes,Product X,13,5,5,5,2,2,1,5,5,2,1,5,2,4,1,2,1,4,1,4,1,3,5,6,2
1794,1,1,0,No,,,5,5,5,4,5,,,,,,,3,4,4,2,4,4,4,1,4,2,3,5,6
1795,1,1,0,Yes,Product X,4,5,5,5,4,4,3,4,3,5,1,3,1,3,3,1,4,4,3,2,1,5,3,6,4
1801,1,1,0,Yes,Product Y,2,5,5,3,5,5,5,3,1,1,5,4,3,4,3,1,5,3,1,1,5,2,3,6,4
1832,1,1,0,Yes,Product Y,2,5,5,5,5,4,3,1,1,5,1,3,5,5,2,3,5,3,3,1,5,2,6,4,3
1837,1,1,0,Yes,Product Y,21,5,2,4,3,2,5,3,4,3,2,5,2,5,5,4,5,3,4,1,4,2,3,6,5
1855,1,1,0,Yes,Product X,5,5,5,5,4,4,3,3,3,4,4,3,2,3,3,3,3,3,3,1,6,2,4,5,3
1878,1,1,0,Yes,Product Y,18,5,5,3,5,4,4,5,3,5,1,4,3,4,4,1,1,4,4,1,3,2,5,4,6
1939,1,1,0,Yes,Product X,13,5,5,5,5,5,5,2,4,5,4,5,2,4,1,3,5,4,1,1,2,3,6,5,4
1944,0,1,0,Yes,Product Y,14,5,5,3,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,1,3,2,6,5,4
1949,1,1,0,Yes,Product X,28,5,5,5,5,5,5,5,5,5,4,5,2,4,4,3,3,3,4,1,2,3,4,6,5
1966,0,1,0,Yes,Product Y,38,5,5,5,3,3,4,5,4,5,1,3,4,5,1,1,1,3,1,1,5,2,3,4,6
1969,1,1,0,Yes,Product X,3,5,5,5,4,5,5,4,4,5,5,4,1,5,3,3,3,2,3,1,2,4,3,6,5
2007,1,1,0,Yes,Product Y,30,5,5,4,3,4,5,5,2,5,5,5,2,5,1,1,2,3,1,2,3,1,4,5,6
2010,1,1,0,Yes,Product Y,28,4,3,3,1,5,5,2,4,5,5,5,2,4,2,3,3,3,3,1,5,2,6,3,4
2024,1,1,0,Yes,Product X,2,5,5,5,4,5,3,5,3,5,3,4,5,4,3,1,3,5,5,1,3,2,6,4,5
2053,1,1,0,Yes,Product X,7,5,5,5,3,5,5,5,4,5,1,5,4,4,1,1,5,3,3,1,3,2,5,6,4
2060,1,1,0,Yes,Product Y,1,5,5,5,2,4,5,5,5,5,5,5,4,5,4,2,5,5,1,1,3,2,4,6,5
2062,0,1,0,Yes,Product Y,71,5,5,5,5,5,4,4,5,5,5,5,1,4,5,4,4,3,2,1,4,3,2,5,6
2209,0,0,1,Yes,Product Y,5,5,5,5,5,5,5,2,3,5,4,4,3,4,3,3,3,3,3,6,1,3,5,2,4
2238,0,1,0,Yes,Product Y,18,5,5,5,5,5,3,5,4,5,5,3,2,4,3,4,4,1,2,1,2,3,4,6,5
2293,1,1,0,Yes,Product Y,19,5,5,5,5,5,3,2,2,5,4,5,3,5,4,2,5,4,5,1,6,5,2,3,4
2296,1,1,0,No,,,5,2,5,1,2,,,,,,,3,3,2,2,3,3,3,1,5,2,6,3,4
2412,0,0,1,Yes,Product Y,18,5,4,5,5,5,5,4,5,5,5,4,2,4,3,2,2,4,2,1,4,5,2,3,6
2490,1,1,0,Yes,Product X,14,5,4,5,4,5,4,4,3,4,1,4,2,4,1,1,3,5,3,1,6,2,3,5,4
2549,0,1,0,Yes,Product Y,3,5,5,5,2,5,4,2,1,2,1,2,3,5,5,2,5,4,3,1,5,2,6,3,4
2569,0,1,0,Yes,Product Y,25,5,5,5,1,2,5,4,5,5,5,5,4,4,1,1,2,4,3,1,4,3,2,5,6
2576,0,1,0,Yes,Product Y,12,5,5,5,2,4,5,1,1,5,5,3,1,1,2,1,1,3,1,1,4,2,6,5,3
2584,1,1,0,No,,,5,4,5,4,4,,,,,,,3,5,4,3,5,4,2,1,2,3,4,5,6
2610,1,1,0,Yes,Product X,2,5,5,5,5,5,5,5,5,5,5,4,2,2,1,1,4,2,4,3,1,5,4,6,2
2649,1,1,0,Yes,Product X,2,5,5,4,1,5,5,4,2,4,5,3,1,5,5,3,3,4,4,1,4,2,3,6,5
2716,1,1,0,Yes,Product X,6,5,4,5,2,4,5,2,5,5,2,5,2,3,3,1,3,3,4,1,4,2,6,5,3
2717,1,1,0,Yes,Product X,7,5,5,5,5,5,5,5,5,5,5,5,2,5,3,1,5,5,2,1,6,3,4,5,2
2721,1,1,0,Yes,Product X,7,5,4,5,2,5,5,5,4,5,5,3,4,5,2,3,5,5,4,3,5,1,4,6,2
2734,1,1,0,Yes,Product X,7,5,3,3,1,2,5,5,4,5,5,5,3,4,2,2,3,3,2,1,2,3,5,4,6
2752,1,1,0,Yes,Product X,7,5,5,5,5,5,4,3,4,5,5,2,3,4,3,2,4,3,3,1,4,2,5,3,6
2760,1,1,0,Yes,Product Y,5,5,5,5,5,5,5,5,5,5,5,5,1,2,2,1,4,4,3,1,6,2,5,3,4
2762,1,1,0,Yes,Product X,4,5,5,5,5,5,5,4,4,5,3,4,3,4,4,2,4,4,3,1,6,4,2,5,3
2763,1,0,0,Yes,Product X,11,5,4,5,4,5,5,5,5,5,5,4,4,4,4,2,4,3,4,1,2,5,4,6,3
2785,1,1,0,Yes,Product X,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,2,5,3,3,2,3,4,5,6,1
2788,1,1,0,Yes,Product X,6,5,5,5,4,1,5,5,5,5,1,4,3,4,3,1,4,3,1,1,4,3,6,5,2
2793,1,1,0,Yes,Product X,5,4,5,5,5,5,3,3,3,5,5,3,1,5,2,2,5,5,1,1,6,4,3,5,2
2794,1,1,0,Yes,Product X,11,4,4,3,3,3,3,3,2,4,4,3,3,3,3,1,4,2,3,2,4,1,6,5,3
2808,1,1,0,Yes,Product Y,49,5,5,5,5,5,5,3,3,5,5,5,2,5,5,3,4,1,1,1,2,3,5,6,4
2814,1,1,0,Yes,Product X,6,5,5,5,5,5,2,5,4,5,1,2,4,3,3,3,3,4,2,3,1,4,5,6,2
2836,1,1,0,Yes,Product Y,11,5,4,4,4,5,5,4,5,5,5,4,3,5,4,3,4,4,3,3,4,1,2,6,5
2838,1,1,0,Yes,Product X,13,5,5,5,2,5,3,1,2,4,4,3,3,4,3,2,5,5,2,1,5,3,6,4,2
2846,1,1,0,Yes,Product Y,15,4,4,5,5,5,2,1,1,1,5,2,4,3,2,2,5,3,2,1,5,4,3,6,2
2848,1,1,0,Yes,Product X,5,5,5,5,5,5,2,3,2,5,5,5,4,4,1,1,3,4,1,1,2,4,3,5,6
2862,1,1,0,Yes,Product X,1,5,5,5,5,5,5,5,5,5,5,4,1,5,3,2,5,5,1,1,5,2,3,6,4
2888,1,1,0,Yes,Product X,3,5,4,5,5,5,1,2,2,5,5,2,4,5,1,2,5,5,3,1,2,3,5,6,4
2891,1,1,0,Yes,Product X,4,5,4,5,5,4,5,5,4,5,3,4,2,4,3,3,4,1,2,1,4,3,5,6,2
2902,1,1,0,Yes,Product Y,3,5,5,5,1,5,5,4,4,4,4,3,2,4,3,3,2,3,3,1,2,3,5,4,6
2951,1,1,0,Yes,Product X,6,5,5,5,5,5,5,5,5,5,5,4,2,5,5,4,4,5,4,1,2,4,3,6,5
2964,1,1,0,Yes,Product X,3,5,5,5,4,5,1,4,5,5,5,4,4,4,4,3,5,5,2,1,2,3,6,5,4
2979,0,1,0,Yes,Product Y,16,5,5,5,5,5,1,2,2,4,1,1,2,3,3,2,2,3,3,2,1,4,3,6,5
3009,1,1,0,Yes,Product Y,1,5,5,5,1,2,3,2,3,5,1,3,4,4,3,1,3,3,1,2,4,1,3,5,6
3014,0,1,0,Yes,Product Y,28,5,4,4,3,3,5,4,1,5,5,5,2,4,2,2,3,3,4,1,5,2,4,6,3
3040,1,1,0,Yes,Product Y,1,5,4,5,4,5,3,5,5,5,5,3,2,5,5,2,5,3,4,1,4,2,6,5,3
3123,1,1,0,Yes,Product X,7,5,5,5,5,5,4,3,5,5,5,4,4,4,4,2,5,3,3,1,4,6,2,5,3
3327,1,1,0,Yes,Product X,4,5,3,1,2,5,5,4,3,5,5,5,4,5,3,2,4,5,1,1,3,2,4,6,5
3927,1,1,0,Yes,Product X,21,5,4,5,5,5,3,4,5,5,5,3,3,5,3,3,3,3,2,1,6,2,3,5,4
4145,1,1,0,Yes,Product X,1,5,5,5,5,5,4,4,4,5,5,3,2,3,4,2,4,4,3,1,3,2,6,5,4
4228,1,1,0,Yes,Product X,7,5,5,5,5,5,5,3,4,5,5,4,2,4,1,3,4,3,2,1,3,2,5,6,4
4262,1,1,0,Yes,Product X,12,5,5,5,5,3,4,4,2,5,5,5,2,1,5,3,4,4,1,3,4,2,5,6,1
